Dia,Previsão,Intervalo Inferior,Intervalo Superior
2023-06-29,17.8265,14.8713,20.7817
2023-06-30,18.0768,15.1219,21.0318
2023-07-01,18.3077,15.3528,21.2625
2023-07-02,16.8102,13.8554,19.765
2023-07-03,18.1225,15.1677,21.0773
2023-07-04,19.2048,16.2502,22.1594
